,0,1
0,"('jewellery', 'sunglasses')",14
1,"('shoes', 'sunglasses')",12
2,"('sunglasses', 'sunglasses')",65
3,"('hats', 'sunglasses')",50
4,"('accessories', 'scarves')",45
5,"('jewellery', 'jewellery')",29
6,"('shoes', 'jewellery')",4
7,"('all-body', 'scarves')",32
8,"('tops', 'tops')",57
9,"('shoes', 'accessories')",17
10,"('shoes', 'scarves')",27
11,"('bottoms', 'bottoms')",62
12,"('bags', 'all-body')",11
13,"('bags', 'outerwear')",26
14,"('jewellery', 'bottoms')",8
15,"('hats', 'bottoms')",51
16,"('jewellery', 'tops')",7
17,"('tops', 'scarves')",44
18,"('jewellery', 'outerwear')",31
19,"('accessories', 'accessories')",61
20,"('bags', 'scarves')",25
21,"('accessories', 'bottoms')",22
22,"('shoes', 'shoes')",54
23,"('bags', 'bottoms')",3
24,"('jewellery', 'hats')",39
25,"('shoes', 'all-body')",13
26,"('accessories', 'outerwear')",46
27,"('bags', 'sunglasses')",10
28,"('hats', 'all-body')",40
29,"('sunglasses', 'bottoms')",23
30,"('bags', 'jewellery')",1
31,"('sunglasses', 'scarves')",59
32,"('hats', 'accessories')",55
33,"('jewellery', 'all-body')",15
34,"('bags', 'tops')",2
35,"('scarves', 'outerwear')",34
36,"('sunglasses', 'outerwear')",52
37,"('sunglasses', 'all-body')",16
38,"('accessories', 'sunglasses')",21
39,"('hats', 'outerwear')",41
40,"('bags', 'shoes')",0
41,"('scarves', 'scarves')",56
42,"('jewellery', 'scarves')",30
43,"('bags', 'hats')",37
44,"('shoes', 'bottoms')",6
45,"('bottoms', 'scarves')",47
46,"('outerwear', 'outerwear')",63
47,"('all-body', 'bottoms')",58
48,"('tops', 'outerwear')",42
49,"('bottoms', 'outerwear')",43
50,"('shoes', 'hats')",38
51,"('shoes', 'outerwear')",28
52,"('tops', 'all-body')",48
53,"('tops', 'accessories')",19
54,"('bags', 'accessories')",35
55,"('shoes', 'tops')",5
56,"('hats', 'hats')",64
57,"('hats', 'tops')",49
58,"('bags', 'bags')",53
59,"('tops', 'sunglasses')",20
60,"('accessories', 'all-body')",36
61,"('jewellery', 'accessories')",18
62,"('all-body', 'all-body')",24
63,"('hats', 'scarves')",60
64,"('tops', 'bottoms')",9
65,"('all-body', 'outerwear')",33
